DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;NC2R_CE1_P1;NH_CGPRCFH_P1;NH_CGPRCFH_P1S1;NH_CGPRCFH_P1S2;NH_CGPRCFH_P2;NH_CGPRCFH_P3;NH_CGPRCFH_P4;NH_CGPRCFH_P5;NH_CGPRCFH_P6;NH_CGPRCFH_P7;NH_CGPRCFH_P8;FEX_C
120570;11;7;1;2; ; ; ; ; ; ; ; ; ; ;2366,58808363962
121048;2;2;1;2; ; ; ; ; ; ; ; ; ; ;1233,76201047611
121051;1;3;1;1;BOMBUM;11110412;4;2;1;24;600;9;2;2;489,950207094199
121051;2;3;2;1;GALLETAS;11110412;4;1;1;24;600;2;2;2;489,950207094199
121051;3;3;3;1;DULCE;11110412;4;1;1;24;400;1;2;1;489,950207094199
121051;4;2;1;1;DESAYUNO;11110101;1;5;1;16;17500;1;2;2;489,950207094199
121051;5;2;2;1;ALMUERZO;11110102;2;5;1;16;17500;1;2;2;489,950207094199
121052;1;2;3;1;AGUA AROMATICA;11110201;4;1;3;18;1000;9;2;2;854,014296897025
121052;2;2;4;1;PAN;11110404;4;1;3;6;200;2;2;2;854,014296897025
121052;3;2;5;1;GASEOSA;11110301;4;2;3;18;2400;3;2;2;854,014296897025
121053;1;2;1;1;ARROZ CARNE ENSALADA PAPA;11110102;2;1;1;18;5000;9;2;2;553,71729012406
121093;2;2;1;2; ; ; ; ; ; ; ; ; ; ;1313,95197761811
121097;1;1;1;1;GASEOSA;11110301;4;6;1;13;20000;9;2;2;821,579401040125
121097;2;3;1;1;DESAYUNO ESCOLAR HUEVO CHOCOLATE AREPA;11110101;1;4;3; ;20000; ;2;2;821,579401040125
121097;3;3;2;1;PAPA RELLENA;11110405;4;1;3;19;1500;3;2;2;821,579401040125
121097;4;3;3;1;CHOCOLATINAS;11110412;4;2;3;19;6000;9;2;2;821,579401040125
121097;5;3;4;1;PASABOCAS MEKATODO;11110411;4;1;3;19;1500;2;2;2;821,579401040125
121097;6;3;5;1;AREPA CON QUESITO;11110404;4;1;3;19;2000;2;2;2;821,579401040125
121097;7;4;1;1;PATACON FRITO;11110411;4;1;3;19;2000;3;2;2;821,579401040125
121097;8;4;2;1;PONYMALTA;11110301;4;1;1;6;2000;3;2;2;821,579401040125
121097;9;4;3;1;CHOCOLATINA JUMBO;11110412;4;1;3;19;6000;9;2;2;821,579401040125
121097;10;4;4;1;JUGO DE MARACUYA;11110302;4;1;3;19;300;1;2;2;821,579401040125
121098;2;2;1;2; ; ; ; ; ; ; ; ; ; ;1177,26257891966
121099;2;2;1;2; ; ; ; ; ; ; ; ; ; ;1294,09167946865
121099;3;3;1;2; ; ; ; ; ; ; ; ; ; ;1294,09167946865
121412;1;1;1;1;ARROZ HUEVOS CARNE PAPA Y CHOCOLATE;11110101;1;6;1;18;42000;1;2;2;1208,79202341642
121412;2;1;2;1;SOPA ARROZ FRIJOL CARNE YUCA PAPA ENSALADA Y JUGO;11110102;2;6;1;18;48000;1;2;2;1208,79202341642
121412;3;1;3;1;SOPA ARROZ POLLO PAPA YUCA FRIJOL Y JUGO;11110103;3;6;1;18;48000;1;2;2;1208,79202341642
121416;1;2;1;1;SOPA ARROZ CON POLLO JUGO;11110102;2;3;1;18;12000;9;2;2;1883,53318282494
121416;2;5;1;1;BANDEJA DE ARROZ POLLO PLATANOS;11110102;2;1;1;18;2800;5;2;2;1883,53318282494
121416;4;3;1;2; ; ; ; ; ; ; ; ; ; ;1883,53318282494
121622;2;1;1;2; ; ; ; ; ; ; ; ; ; ;553,71729012406
121623;1;2;6;1;TINTO;11110201;4;3;3;20;2100;3;2;2;553,71729012406
121628;2;1;1;2; ; ; ; ; ; ; ; ; ; ;992,317529819037
121628;3;4;1;2; ; ; ; ; ; ; ; ; ; ;992,317529819037
121629;2;2;1;2; ; ; ; ; ; ; ; ; ; ;547,874692094617
121630;2;2;1;2; ; ; ; ; ; ; ; ; ; ;1098,23387608015
121631;2;1;1;2; ; ; ; ; ; ; ; ; ; ;784,085036948689
121632;2;2;1;2; ; ; ; ; ; ; ; ; ; ;739,432618440648
121770;2;2;1;2; ; ; ; ; ; ; ; ; ; ;1556,49945064519
121815;2;2;1;2; ; ; ; ; ; ; ; ; ; ;1098,23387608015
121817;2;1;1;2; ; ; ; ; ; ; ; ; ; ;911,18714454231
121817;3;4;1;2; ; ; ; ; ; ; ; ; ; ;911,18714454231
121835;2;2;1;2; ; ; ; ; ; ; ; ; ; ;459,367141053749
121835;3;3;1;2; ; ; ; ; ; ; ; ; ; ;459,367141053749
121836;2;1;1;2; ; ; ; ; ; ; ; ; ; ;540,377668743098
121837;2;2;1;2; ; ; ; ; ; ; ; ; ; ;613,099840273788
121839;1;1;1;1;EMPANADAS;11110103;3;6;3;16;6000;2;2;2;878,665235344193
121839;3;2;1;2; ; ; ; ; ; ; ; ; ; ;878,665235344193
121843;2;1;1;2; ; ; ; ; ; ; ; ; ; ;624,468052425673
121843;3;3;1;2; ; ; ; ; ; ; ; ; ; ;624,468052425673
121844;2;1;1;2; ; ; ; ; ; ; ; ; ; ;715,975438360327
121844;3;3;1;2; ; ; ; ; ; ; ; ; ; ;715,975438360327
121844;4;4;1;2; ; ; ; ; ; ; ; ; ; ;715,975438360327
121845;2;2;1;2; ; ; ; ; ; ; ; ; ; ;351,910475369662
121845;3;3;1;2; ; ; ; ; ; ; ; ; ; ;351,910475369662
121846;2;1;1;2; ; ; ; ; ; ; ; ; ; ;827,948833892657
121846;3;3;1;2; ; ; ; ; ; ; ; ; ; ;827,948833892657
121898;2;1;1;2; ; ; ; ; ; ; ; ; ; ;553,71729012406
121899;1;2;1;1;EMPANADA;11110105;4;1;1;18;2000;9;2;2;580,968079723388
121899;2;2;2;1;TINTO;11110105;4;1;1;18;800;9;2;2;580,968079723388
121899;3;3;1;1;EMPANADA;11110405;4;2;1;19;3000;2;2;1;580,968079723388
121899;4;3;2;1;TINTO;11110105;4;1;1;19;1600;2;2;2;580,968079723388
121902;1;3;1;1;ALMUERZO;11110102;2;1;1;18;6000;3;2;2;580,968079723388
121902;2;3;2;1;TINTO;11110105;4;4;1;19;3200;2;2;2;580,968079723388
121902;3;2;1;1;GASEOSA;11110301;4;1;1;6;1200;4;2;2;580,968079723388
121903;2;2;1;2; ; ; ; ; ; ; ; ; ; ;643,314385400729
121903;3;3;1;2; ; ; ; ; ; ; ; ; ; ;643,314385400729
121905;2;1;1;2; ; ; ; ; ; ; ; ; ; ;1115,68958530629
121916;1;2;1;1;EMPANADA;11110405;4;1;3;20;1200;3;2;2;634,742780810683
121916;2;2;2;1;GOMA DE MASACAR;11110412;4;1;3;20;100;3;2;2;634,742780810683
121916;3;2;3;1;BONBONES;11110412;4;2;3;20;300;3;2;2;634,742780810683
121916;4;2;4;1;HELADOS;11110401;4;1;3;18;350;9;2;2;634,742780810683
121916;5;2;5;1;PAQUETE DE PAPAS;11110411;4;3;3;18;1300;9;2;2;634,742780810683
121916;6;2;6;1;AGUA SABORIZADA;11110301;4;1;3; ;600; ;2;2;634,742780810683
128986;1;3;2;1;SOPA ARROZ CARNE PAPA ARVEJA ENSALADA Y JUGO;11110102;2;1;1;18;4000;9;2;2;1737,60206122693
128986;2;3;3;1;MANI;11110411;4;1;1;6;1000;3;2;2;1737,60206122693
128986;3;3;4;1;PAPAS FRITAS;11110411;4;1;1;6;1200;3;2;2;1737,60206122693
128986;4;3;5;1;GASEOSA;11110301;4;1;1;6;800;3;2;2;1737,60206122693
128986;5;4;1;1;ARROZ PAPA FRIJOL SALCHICHA Y JUGO;11110102;2;6;1;18;24000;1;2;2;1737,60206122693
128986;6;4;2;1;PAN CORRIENTE;11110404;4;6;1;6;1200;1;2;2;1737,60206122693
128986;8;1;1;2; ; ; ; ; ; ; ; ; ; ;1737,60206122693
128987;1;2;1;1;CHITOS;11110411;4;1;1;6;500;3;2;2;2462,20547501277
128987;2;2;2;1;BOMBOM;11110412;4;1;1;6;250;3;2;2;2462,20547501277
128987;3;3;1;1;GOMAS;11110412;4;2;1;6;1000;9;2;2;2462,20547501277
128988;1;3;1;1;PAPA FRITA;11110411;4;4;1;6;1000;2;2;2;849,932560420115
128988;3;1;1;2; ; ; ; ; ; ; ; ; ; ;849,932560420115
129000;1;2;1;1;EMPANADA;11110405;4;5;1;19;5000;2;2;2;552,29651277154
129000;2;2;2;1;GASEOSA;11110301;4;5;1;18;6000;2;2;2;552,29651277154
129000;4;3;1;2; ; ; ; ; ; ; ; ; ; ;552,29651277154
129001;1;3;1;1;ALMUERZO;11110102;2;1;1;18;4500;9;2;2;410,699637588749
129001;2;3;2;1;EMPANADA;11110405;4;1;1;19;2000;9;2;2;410,699637588749
129001;4;2;1;2; ; ; ; ; ; ; ; ; ; ;410,699637588749
129001;5;4;1;2; ; ; ; ; ; ; ; ; ; ;410,699637588749
129002;1;3;1;1;JUGO;11110301;4;2;1;24;2300;9;2;2;1373,78295705701
129002;2;3;2;1;BOM BOM BUM;11110412;4;1;1;6;300;2;2;2;1373,78295705701
129002;3;3;3;1;PAN;11110404;4;1;3;6;200;9;2;2;1373,78295705701
129002;4;3;4;1;CHOCOLATE;11110201;4;1;3;13;1000;2;2;2;1373,78295705701
129002;5;1;1;1;ALMUERZO;11110102;2;5;1;16;25000;9;2;2;1373,78295705701
129004;2;2;1;2; ; ; ; ; ; ; ; ; ; ;832,26201254465
129006;1;1;1;1;CAFE CON LECHE;11110201;4;1;1;19;1000;3;2;2;776,599428281078
129006;3;3;1;2; ; ; ; ; ; ; ; ; ; ;776,599428281078
129011;1;1;2;1;HELADOS;11110401;4;3;1;6;2400;4;2;2;1481,47212463169
129011;2;3;1;1;ENERGIZANTE;11110301;4;1;1;6;2500;4;2;2;1481,47212463169
129014;2;2;1;2; ; ; ; ; ; ; ; ; ; ;1118,05438472111
129014;3;3;1;2; ; ; ; ; ; ; ; ; ; ;1118,05438472111
129015;2;2;1;2; ; ; ; ; ; ; ; ; ; ;1356,46847862678
129015;3;3;1;2; ; ; ; ; ; ; ; ; ; ;1356,46847862678
129016;2;1;1;2; ; ; ; ; ; ; ; ; ; ;1202,66384634045
129016;3;3;1;2; ; ; ; ; ; ; ; ; ; ;1202,66384634045
129016;4;4;1;2; ; ; ; ; ; ; ; ; ; ;1202,66384634045
129021;1;3;1;1;SOPA ARROZ PAPA POLLO ENSALADA FRIJOL Y JUGO DE TOMATE;11110102;2;3;1;18;13500;2;2;2;1542,89206565332
129021;2;3;2;1;CAFE CON LECHE;11110201;4;5;1;13;4000;1;2;2;1542,89206565332
129021;3;3;3;1;EMPANADA;11110405;4;5;1;13;4000;1;2;2;1542,89206565332
129021;4;3;4;1;GASEOSA;11110301;4;6;1;6;4800;1;2;2;1542,89206565332
129021;6;1;1;2; ; ; ; ; ; ; ; ; ; ;1542,89206565332
129022;1;4;1;1;GASEOSA;11110301;4;4;1;6;4000;1;2;2;1716,08110986809
129022;2;4;2;1;PAN;11110404;4;12;1;6;4800;1;2;2;1716,08110986809
129022;4;1;1;2; ; ; ; ; ; ; ; ; ; ;1716,08110986809
129022;5;3;1;2; ; ; ; ; ; ; ; ; ; ;1716,08110986809
129030;1;2;1;1;EMPANADA Y GASEOSA;11110414;4;1;1;19;2600;9;2;2;553,71729012406
129030;2;2;2;1;SOPA DE MONDONGO ARROZ PLATANO VERDURAS Y CARNE;11110102;2;1;1;18;7000;9;2;2;553,71729012406
129031;1;2;1;1;GASEOSA;11110301;4;2;6;18;2400;3;2;2;398,219809177638
129031;2;2;2;1;TROCILLOS;11110411;4;1;3;6;700;3;2;2;398,219809177638
129031;3;2;3;1;CHICLE;11110412;4;1;3;13;100;3;2;2;398,219809177638
129032;1;1;1;1;ALMUERZO;11110102;2;1;3;13;5000;2;2;2;1180,47977723551
129032;2;3;1;1;EMPANADA;11110405;4;2;1;24;1000;2;2;2;1180,47977723551
129032;3;3;2;1;JUGOS;11110301;4;1;1;24;1000;3;2;1;1180,47977723551
129032;4;3;3;1;BOM BOM BUM;11110412;4;2;1;24;600;3;2;2;1180,47977723551
129032;5;3;4;1;DULCES;11110412;4;4;3; ;400; ;2;2;1180,47977723551
129036;2;2;1;2; ; ; ; ; ; ; ; ; ; ;1556,49945064519
129041;1;1;1;1;ARROZ PAPA ENSALDA CARNE YUCA YJUGO;11110102;2;1;1;18;7000;9;2;2;878,884592300625
129041;2;1;2;1;GASEOSA;11110301;4;1;1;6;1500;9;2;2;878,884592300625
129041;3;3;1;1;EMPANADA;11110405;4;1;1;19;1000;2;2;2;878,884592300625
129041;4;3;2;1;GASEOSA;11110301;4;1;1;19;800;9;2;2;878,884592300625
129041;5;3;3;1;BOMBOMBUN;11110412;4;1;1;6;300;9;2;2;878,884592300625
129041;6;4;1;1;PAPAS;11110411;4;1;1;6;1000;2;2;2;878,884592300625
129041;7;4;2;1;GASEOSA;11110301;4;1;1;6;600;2;2;2;878,884592300625
129043;2;1;1;2; ; ; ; ; ; ; ; ; ; ;843,906716477789
129043;3;4;1;2; ; ; ; ; ; ; ; ; ; ;843,906716477789
129047;2;2;1;2; ; ; ; ; ; ; ; ; ; ;1291,62779069027
129066;1;2;1;1;EMPANADA;11110405;4;1;1;19;1500;9;2;2;634,742780810683
129066;2;2;2;1;GASEOSA;11110301;4;1;1;19;1400;9;2;2;634,742780810683
129067;2;1;1;2; ; ; ; ; ; ; ; ; ; ;1052,22613377836
129067;3;3;1;2; ; ; ; ; ; ; ; ; ; ;1052,22613377836
129070;1;2;1;1;EMPANADAS;11110405;4;2;1;6;1200;3;2;2;1099,31596253085
129070;2;2;2;1;GASEOSA;11110301;4;1;1;6;1200;3;2;2;1099,31596253085
129070;3;3;1;1;EMPANADA;11110405;4;3;1;6;2100;3;2;2;1099,31596253085
129070;4;3;2;1;GASEOSA;11110301;4;1;1;6;1200;3;2;2;1099,31596253085
129070;5;4;1;1;CHURRO;11110414;4;1;1;6;500;1;2;2;1099,31596253085
129070;6;5;1;1;CHURRO;11110414;4;1;1;6;500;1;2;2;1099,31596253085
129071;1;3;1;1;EMPANADA;11110405;4;1;1;6;1200;3;2;2;1179,5200603923
129071;2;3;2;1;GASEOSA;11110301;4;1;1;6;1000;3;2;2;1179,5200603923
129071;4;1;1;2; ; ; ; ; ; ; ; ; ; ;1179,5200603923
129078;1;3;3;1;DULCES;11110412;4;5;1;6;100;3;2;2;1592,87923671055
129078;2;3;4;1;GASEOSA;11110301;4;2;1;6;1200;3;2;2;1592,87923671055
129078;3;5;1;1;DULCES;11110412;4;3;1;6;100;3;2;2;1592,87923671055
129078;5;2;1;2; ; ; ; ; ; ; ; ; ; ;1592,87923671055
129078;6;4;1;2; ; ; ; ; ; ; ; ; ; ;1592,87923671055
133520;2;1;1;2; ; ; ; ; ; ; ; ; ; ;898,346435158073
133522;2;2;1;2; ; ; ; ; ; ; ; ; ; ;632,608313612002
133524;2;2;1;2; ; ; ; ; ; ; ; ; ; ;718,823998362611
133526;2;2;1;2; ; ; ; ; ; ; ; ; ; ;728,632429394898
133544;2;1;1;2; ; ; ; ; ; ; ; ; ; ;933,993158705284
133544;3;2;1;2; ; ; ; ; ; ; ; ; ; ;933,993158705284
133544;4;3;1;2; ; ; ; ; ; ; ; ; ; ;933,993158705284
133544;5;8;1;2; ; ; ; ; ; ; ; ; ; ;933,993158705284
133544;6;9;1;2; ; ; ; ; ; ; ; ; ; ;933,993158705284
133544;7;10;1;2; ; ; ; ; ; ; ; ; ; ;933,993158705284
133545;2;1;1;2; ; ; ; ; ; ; ; ; ; ;956,91338538414
133545;3;3;1;2; ; ; ; ; ; ; ; ; ; ;956,91338538414
133548;1;1;3;1;PATACONES DE CARNE;11110103;3;2;1;13;2000;3;2;2;836,089095078985
133550;2;2;1;2; ; ; ; ; ; ; ; ; ; ;575,536806756228
133550;3;4;1;2; ; ; ; ; ; ; ; ; ; ;575,536806756228
133551;2;2;1;2; ; ; ; ; ; ; ; ; ; ;642,416744644289
133553;2;1;1;2; ; ; ; ; ; ; ; ; ; ;651,393528015966
133553;3;3;1;2; ; ; ; ; ; ; ; ; ; ;651,393528015966
134817;1;3;1;1;COMIDAS  VARIADAS;11110103;2;3;1;18;98;2;2;2;458,170862982866
134819;2;2;1;2; ; ; ; ; ; ; ; ; ; ;222,631166674831
134819;3;3;1;2; ; ; ; ; ; ; ; ; ; ;222,631166674831
135040;1;2;1;1;GASEOSA;11110301;4;2;1;6;3000;3;2;2;348,965464408265
135042;2;2;1;2; ; ; ; ; ; ; ; ; ; ;615,612027875211
135042;3;3;1;2; ; ; ; ; ; ; ; ; ; ;615,612027875211
135042;4;4;1;2; ; ; ; ; ; ; ; ; ; ;615,612027875211
135043;2;2;1;2; ; ; ; ; ; ; ; ; ; ;222,631166674831
135044;2;2;1;2; ; ; ; ; ; ; ; ; ; ;302,685750558182
135046;2;2;1;2; ; ; ; ; ; ; ; ; ; ;248,434380164298
135046;3;3;1;2; ; ; ; ; ; ; ; ; ; ;248,434380164298
135047;2;2;1;2; ; ; ; ; ; ; ; ; ; ;222,631166674831
135050;2;2;1;2; ; ; ; ; ; ; ; ; ; ;222,631166674831
135075;2;2;1;2; ; ; ; ; ; ; ; ; ; ;613,327465015036
135075;3;3;1;2; ; ; ; ; ; ; ; ; ; ;613,327465015036
135077;2;3;1;2; ; ; ; ; ; ; ; ; ; ;302,685750558182
135177;2;2;1;2; ; ; ; ; ; ; ; ; ; ;399,13689694191
135177;3;3;1;2; ; ; ; ; ; ; ; ; ; ;399,13689694191
135207;2;2;1;2; ; ; ; ; ; ; ; ; ; ;302,512162214489
135228;1;2;1;1;ARROZ CON TODO;11110102;2;1;3; ;9000; ;2;2;265,667441587795
135228;3;3;1;2; ; ; ; ; ; ; ; ; ; ;265,667441587795
