DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;CAP;NC2R_CE_P1;NC2R_CE_P2;NC2R_CE_P4S1;NC2R_CE_P5S2;NC2R_CE_P6;NC2R_CE_P7;NC2R_CE_P8;FEX_C
120570;5;4;1;E1;2; ; ; ; ; ; ;2366,58808363962
120570;6;4;2;E2;2; ; ; ; ; ; ;2366,58808363962
120570;7;5;1;E1;2; ; ; ; ; ; ;2366,58808363962
120570;8;5;2;E2;1;11110601;10;1;6;30000;5;2366,58808363962
120570;9;6;1;E1;2; ; ; ; ; ; ;2366,58808363962
120570;10;6;2;E2;2; ; ; ; ; ; ;2366,58808363962
120570;11;7;1;E1;2; ; ; ; ; ; ;2366,58808363962
120570;12;7;2;E2;2; ; ; ; ; ; ;2366,58808363962
121048;1;2;1;E1;2; ; ; ; ; ; ;1233,76201047611
121048;2;2;2;E2;2; ; ; ; ; ; ;1233,76201047611
121051;1;2;1;E1;1;07320101;11;1; ;55000;1;489,950207094199
121051;2;2;2;E2;1;02130101;10;1;6;16000;9;489,950207094199
121051;3;3;1;E1;2; ; ; ; ; ; ;489,950207094199
121051;4;3;2;E2;2; ; ; ; ; ; ;489,950207094199
121052;1;2;1;E1;2; ; ; ; ; ; ;854,014296897025
121052;2;2;2;E2;2; ; ; ; ; ; ;854,014296897025
121053;1;2;3;E1;1;07320207;2;1; ;7000;5;553,71729012406
121053;2;2;4;E2;2; ; ; ; ; ; ;553,71729012406
121093;1;2;1;E1;2; ; ; ; ; ; ;1313,95197761811
121093;2;2;2;E2;2; ; ; ; ; ; ;1313,95197761811
121097;1;1;1;E1;2; ; ; ; ; ; ;821,579401040125
121097;2;1;2;E2;2; ; ; ; ; ; ;821,579401040125
121097;3;3;1;E1;1;07320101;8;3; ;24000;3;821,579401040125
121097;4;3;2;E2;2; ; ; ; ; ; ;821,579401040125
121097;5;4;1;E1;1;07320101;12;3; ;24000;1;821,579401040125
121097;6;4;2;E2;2; ; ; ; ; ; ;821,579401040125
121098;1;2;1;E1;2; ; ; ; ; ; ;1177,26257891966
121098;2;2;2;E2;2; ; ; ; ; ; ;1177,26257891966
121099;1;2;3;E1;2; ; ; ; ; ; ;1294,09167946865
121099;2;2;4;E2;2; ; ; ; ; ; ;1294,09167946865
121099;3;3;1;E1;2; ; ; ; ; ; ;1294,09167946865
121099;4;3;2;E2;2; ; ; ; ; ; ;1294,09167946865
121412;1;1;1;E1;2; ; ; ; ; ; ;1208,79202341642
121412;2;1;2;E2;2; ; ; ; ; ; ;1208,79202341642
121416;1;2;1;E1;1;07220101;4;1; ;20000;1;1883,53318282494
121416;2;2;2;E1;1;07240102;4;1; ;6000;9;1883,53318282494
121416;3;2;3;E1;1;08300203;9;1; ;5000;9;1883,53318282494
121416;4;2;4;E2;2; ; ; ; ; ; ;1883,53318282494
121416;5;3;1;E1;2; ; ; ; ; ; ;1883,53318282494
121416;6;3;2;E2;2; ; ; ; ; ; ;1883,53318282494
121416;7;5;1;E1;1;07320101;3;1; ;6400;5;1883,53318282494
121416;8;5;2;E1;1;08300203;6;1; ;1200;9;1883,53318282494
121416;9;5;3;E2;1;09430101;2;1; ;4500;9;1883,53318282494
121622;1;1;1;E1;1;07320207;5;1; ;30000;4;553,71729012406
121622;2;1;2;E2;2; ; ; ; ; ; ;553,71729012406
121623;1;2;1;E1;2; ; ; ; ; ; ;553,71729012406
121623;2;2;2;E2;2; ; ; ; ; ; ;553,71729012406
121628;1;1;1;E1;2; ; ; ; ; ; ;992,317529819037
121628;2;1;2;E2;2; ; ; ; ; ; ;992,317529819037
121628;3;4;1;E1;2; ; ; ; ; ; ;992,317529819037
121628;4;4;2;E2;2; ; ; ; ; ; ;992,317529819037
121629;1;2;1;E1;2; ; ; ; ; ; ;547,874692094617
121629;2;2;2;E2;2; ; ; ; ; ; ;547,874692094617
121630;1;2;3;E1;2; ; ; ; ; ; ;1098,23387608015
121630;2;2;4;E2;2; ; ; ; ; ; ;1098,23387608015
121631;1;1;1;E1;2; ; ; ; ; ; ;784,085036948689
121631;2;1;2;E2;2; ; ; ; ; ; ;784,085036948689
121632;1;2;1;E1;2; ; ; ; ; ; ;739,432618440648
121632;2;2;2;E2;2; ; ; ; ; ; ;739,432618440648
121770;1;2;1;E1;2; ; ; ; ; ; ;1556,49945064519
121770;2;2;2;E2;2; ; ; ; ; ; ;1556,49945064519
121815;1;2;1;E1;2; ; ; ; ; ; ;1098,23387608015
121815;2;2;2;E2;2; ; ; ; ; ; ;1098,23387608015
121817;1;1;1;E1;2; ; ; ; ; ; ;911,18714454231
121817;2;1;2;E2;2; ; ; ; ; ; ;911,18714454231
121817;3;4;1;E1;2; ; ; ; ; ; ;911,18714454231
121817;4;4;2;E2;2; ; ; ; ; ; ;911,18714454231
121835;1;2;3;E1;2; ; ; ; ; ; ;459,367141053749
121835;2;2;4;E2;2; ; ; ; ; ; ;459,367141053749
121835;3;3;1;E1;2; ; ; ; ; ; ;459,367141053749
121835;4;3;2;E2;2; ; ; ; ; ; ;459,367141053749
121836;1;1;4;E1;2; ; ; ; ; ; ;540,377668743098
121836;2;1;5;E2;2; ; ; ; ; ; ;540,377668743098
121837;1;2;1;E1;2; ; ; ; ; ; ;613,099840273788
121837;2;2;2;E2;2; ; ; ; ; ; ;613,099840273788
121839;1;1;1;E1;1;07320199;1;1; ;3000;5;878,665235344193
121839;2;1;2;E2;2; ; ; ; ; ; ;878,665235344193
121839;3;2;1;E1;1;07320101;2;1; ;2000;5;878,665235344193
121839;4;2;2;E2;2; ; ; ; ; ; ;878,665235344193
121843;1;1;1;E1;2; ; ; ; ; ; ;624,468052425673
121843;2;1;2;E2;2; ; ; ; ; ; ;624,468052425673
121843;3;3;1;E1;2; ; ; ; ; ; ;624,468052425673
121843;4;3;2;E2;1;08300303;1;3; ;1000; ;624,468052425673
121844;1;1;1;E1;2; ; ; ; ; ; ;715,975438360327
121844;2;1;2;E2;2; ; ; ; ; ; ;715,975438360327
121844;3;3;1;E1;2; ; ; ; ; ; ;715,975438360327
121844;4;3;2;E2;2; ; ; ; ; ; ;715,975438360327
121844;5;4;1;E1;2; ; ; ; ; ; ;715,975438360327
121844;6;4;2;E2;2; ; ; ; ; ; ;715,975438360327
121845;1;2;1;E1;2; ; ; ; ; ; ;351,910475369662
121845;2;2;2;E2;2; ; ; ; ; ; ;351,910475369662
121845;3;3;1;E1;2; ; ; ; ; ; ;351,910475369662
121845;4;3;2;E2;2; ; ; ; ; ; ;351,910475369662
121846;1;1;6;E1;2; ; ; ; ; ; ;827,948833892657
121846;2;1;7;E2;2; ; ; ; ; ; ;827,948833892657
121846;3;3;1;E1;2; ; ; ; ; ; ;827,948833892657
121846;4;3;2;E2;2; ; ; ; ; ; ;827,948833892657
121898;1;1;1;E1;2; ; ; ; ; ; ;553,71729012406
121898;2;1;2;E2;2; ; ; ; ; ; ;553,71729012406
121899;1;2;1;E1;1;07320207;4;1; ;12000;9;580,968079723388
121899;2;2;2;E2;2; ; ; ; ; ; ;580,968079723388
121899;3;3;1;E1;1;07320207;2;1; ;6000;9;580,968079723388
121899;4;3;2;E2;1;02130101;5;1;19;10000;9;580,968079723388
121902;1;2;3;E1;1;07320207;2;1; ;3500;5;580,968079723388
121902;2;2;4;E2;2; ; ; ; ; ; ;580,968079723388
121902;3;3;1;E1;1;07220101;2;1; ;15000;3;580,968079723388
121902;4;3;2;E1;1;08300203;3;1; ;2500;1;580,968079723388
121902;5;3;3;E2;1;02130101;3;1;6;4800;2;580,968079723388
121903;1;2;1;E1;1;07220101;2;1; ;20000;4;643,314385400729
121903;2;2;2;E1;1;07240102;1;1; ;2000;5;643,314385400729
121903;3;2;3;E2;1;11110601;2;1;19;3200;3;643,314385400729
121903;4;3;1;E1;2; ; ; ; ; ; ;643,314385400729
121903;5;3;2;E2;2; ; ; ; ; ; ;643,314385400729
121905;1;1;1;E1;2; ; ; ; ; ; ;1115,68958530629
121905;2;1;2;E2;2; ; ; ; ; ; ;1115,68958530629
121916;1;2;1;E1;1;07320101;5;3; ;1000;9;634,742780810683
121916;2;2;2;E2;2; ; ; ; ; ; ;634,742780810683
128986;1;1;1;E1;1;07320101;4;1; ;5600;2;1737,60206122693
128986;2;1;2;E2;2; ; ; ; ; ; ;1737,60206122693
128986;3;3;1;E1;1;07220101;1,8;1; ;10000;3;1737,60206122693
128986;4;3;2;E2;2; ; ; ; ; ; ;1737,60206122693
128986;5;4;1;E1;1;07220101;1;1; ;5000;3;1737,60206122693
128986;6;4;2;E2;2; ; ; ; ; ; ;1737,60206122693
128987;1;2;1;E1;1;07320101;2;1; ;2800;2;2462,20547501277
128987;2;2;2;E2;2; ; ; ; ; ; ;2462,20547501277
128987;3;3;1;E1;2; ; ; ; ; ; ;2462,20547501277
128987;4;3;2;E2;2; ; ; ; ; ; ;2462,20547501277
128988;1;1;1;E1;2; ; ; ; ; ; ;849,932560420115
128988;2;1;2;E2;2; ; ; ; ; ; ;849,932560420115
