DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;CAP;NC2R_CA_P3;NC2R_CJ_P4_S1A2;NC2R_CA_P4_S1;NC2R_CA_P5_S1;NC2R_CA_P6_S1;NC2R_CA_P7_S1;NC2R_CA_P8_S1;FEX_C
129022;1;1;1;J1; ; ; ; ; ; ; ;1716,08110986809
129023;1;1;1;J1; ; ; ; ; ; ; ;1065,57413609655
129030;1;1;1;J1; ; ; ; ; ; ; ;553,71729012406
129031;1;1;1;J1; ; ; ; ; ; ; ;398,219809177638
129032;1;1;1;J1; ; ; ; ; ; ; ;1180,47977723551
129036;1;1;1;J1; ; ; ; ; ; ; ;1556,49945064519
129041;1;1;1;J1; ; ; ; ; ; ; ;878,884592300625
129042;1;1;1;J1; ; ; ; ; ; ; ;545,145685534014
129043;1;1;1;J1; ; ; ; ; ; ; ;843,906716477789
129046;1;1;1;J1; ; ; ; ; ; ; ;1224,32363100338
129047;1;1;1;J1; ; ; ; ; ; ; ;1291,62779069027
129050;1;1;1;J1; ; ; ; ; ; ; ;805,011222945322
129066;1;1;1;J1; ; ; ; ; ; ; ;634,742780810683
129067;1;1;1;J1; ; ; ; ; ; ; ;1052,22613377836
129069;1;1;1;J1; ; ; ; ; ; ; ;545,145685534014
129070;1;1;1;J1; ; ; ; ; ; ; ;1099,31596253085
129071;1;1;1;J1; ; ; ; ; ; ; ;1179,5200603923
129078;1;1;1;J1; ; ; ; ; ; ; ;1592,87923671055
133520;1;1;1;J1; ; ; ; ; ; ; ;898,346435158073
133522;1;1;1;J1; ; ; ; ; ; ; ;632,608313612002
133523;1;1;1;J1; ; ; ; ; ; ; ;579,567341895192
133524;1;1;1;J1; ; ; ; ; ; ; ;718,823998362611
133526;1;1;1;J1; ; ; ; ; ; ; ;728,632429394898
133544;1;1;1;J1; ; ; ; ; ; ; ;933,993158705284
133545;1;1;1;J1; ; ; ; ; ; ; ;956,91338538414
133547;1;1;1;J1; ; ; ; ; ; ; ;587,495170359883
