"DIRECTORIO";"Gto_CapC"
119413;46200
119414;58200
119415;136700
119424;13200
119427;19800
119434;8000
119435;30700
119436;91600
119441;39000
119443;48900
119461;89916.6666666667
119467;4500
119469;115600
119479;85600
119482;78600
119483;65000
119484;22100
119485;6800
119487;5300
119489;320569
119491;118050
119494;9866.66666666667
119500;52699
119501;116300
119503;14000
119505;157600
119507;72500
119508;3000
119510;64300
119511;75200
119512;30500
119513;13000
119514;16300
119515;21000
119516;3000
119517;1500
119518;69200
119519;10000
119521;81000
119522;19000
119523;214800
119526;4500
119527;49000
119530;15000
119535;2000
119539;33000
119541;14800
119543;1000
119545;39000
119547;14000
119548;16100
119551;234000
119552;67300
119553;14000
119558;51900
119559;151000
119565;167800
119569;40100
119572;32600
119574;2000
119575;10000
119577;13500
119579;2000
119580;6000
119586;26500
119594;18000
119597;34500
119605;16800
119608;257500
119609;89800
119610;44500
119611;5900
119620;15200
119621;23100
119622;2800
119624;2000
119626;5000
119627;6000
119629;21000
119630;11000
119631;9300
119633;4000
119635;10000
119637;1000
119643;28000
119648;2000
119649;23700
119650;25000
119651;25500
119654;28000
119655;5000
119656;182333.333333333
119657;4600
119658;23000
119665;35000
119668;149300
119669;66800
119670;134000
119671;175200
119673;106700
119674;180800
119675;197320
119682;69900
119683;65400
119685;14000
119686;15200
119687;102900
119690;88000
119692;41600
119696;29530
119698;30000
119699;3500
119700;18000
119702;4500
119703;16700
119707;104933.333333333
119711;151850
119712;38700
119713;18900
119715;45000
119716;214500
119717;91600
119732;94900
119734;5000
119739;76000
119740;10000
119743;5500
119750;41050
119752;1000
119753;32000
119756;24500
119757;56500
119758;23666.6666666667
119761;5200
119766;35000
119782;30400
119795;24000
119796;27650
119797;15700
119799;47000
119808;19000
119810;146500
119811;95000
119812;21100
119813;65400
119814;79000
119816;145400
119817;275500
119818;61800
119819;252500
119826;57000
119829;24200
119833;9800
119834;42000
119835;11000
119837;12000
119838;51700
119839;18000
119841;22600
119849;57450
119856;4300
119858;15000
119859;50800
119860;57800
119863;227300
119864;5000
119872;75000
119895;55750
119896;5100
119897;13000
119900;85700
119901;3000
119907;43850
119908;29900
119909;23500
119910;21500
119911;147500
119913;9800
119914;28000
119915;4000
119921;83500
119922;18900
119923;27700
119924;23200
119925;26600
119926;2800
119929;5000
119931;27900
119934;28566.6666666667
